Temp,Cadd,Date,Harvest ID,Dry Weight,TOC,TN,Fum-TOC,Fum-TN,MBC,MBN,NH4,TRS,NO3,PO4,Fum-PO4,MBP,TFPA,BG,NAG,PHOS,LAP,CBH,BG/AP,BG/(NAG+LAP),VectorLength,VectorAngle
2,0,10/1/2019,1,0.446,324.0802143,66.92115362,1180.290203,184.2470392,856.209989,117.3258856,2.298482022,0.099004587,39.34985446,0.083640505,3.795079664,3.711439159,39.3157603,133.63,48.42,247.07,220.46,11.78186653,0.35,0.33,0.48,43.41
2,0,10/1/2019,2,0.416,343.4107497,67.10504963,1114.121984,179.9948229,770.7112343,112.8897733,1.124836132,0.091343099,41.34229884,0.125193033,3.003887094,2.878694061,52.84775991,113.19,40.90,184.28,182.95,12.19800069,0.38,0.34,0.51,41.43
2,0,10/1/2019,3,0.454,313.3824972,62.37411852,1062.209182,172.7570413,748.8266846,110.3829227,0.573609795,0.068313163,35.36854973,0.145819033,1.751922773,1.60610374,30.71667507,58.58,33.14,170.43,152.40,7.81204006,0.26,0.24,0.35,43.17
2,0,10/1/2019,4,0.454,278.1338508,58.29840332,942.8132735,163.5649097,664.6794227,105.2665064,1.963510454,0.05267521,37.97293997,0.068383155,2.481890595,2.41350744,33.07949623,75.88,36.04,178.06,181.10,5.57941879,0.30,0.26,0.40,40.91
2,0.4,10/1/2019,5,0.462,310.3940994,40.5689201,976.1872135,130.5925723,665.793114,90.02365223,0.601831577,0.076724996,19.89717806,0,1.808639712,1.808639712,40.38777059,106.24,39.51,201.17,169.92,3.824432081,0.35,0.34,0.48,44.24
2,0.4,10/1/2019,6,0.542,270.8467306,38.79540903,1033.661712,135.5322241,762.8149816,96.73681504,1.509494503,0.048172023,23.02190608,0,2.109123308,2.109123308,35.81411679,84.73,24.56,137.90,135.38,8.271300712,0.38,0.35,0.51,42.30
2,0.4,10/1/2019,7,0.544,253.1720563,38.58713473,953.5485424,131.3103218,700.3764861,92.72318705,1.123017051,0.041219962,20.44696994,0.12719925,2.36729435,2.2400951,37.10866241,88.45,33.35,172.23,133.98,10.10874988,0.34,0.35,0.48,45.54
2,0.4,10/1/2019,8,0.542,272.158337,36.09722723,863.3510887,118.2834206,591.1927517,82.18619337,1.203958266,0.044779627,19.99321236,0.018822025,1.266677479,1.247855454,35.43712609,93.35,32.85,330.62,145.42,13.61377683,0.22,0.34,0.41,57.35
2,0.2,10/1/2019,9,0.464,356.8791048,52.75021328,966.5839013,148.6471048,609.7047965,95.89689153,1.271303701,0.077974415,29.57012162,0.120174891,3.079935004,2.959760113,46.08015115,144.26,53.96,291.57,277.68,14.48334621,0.33,0.30,0.45,42.48
2,0.2,10/1/2019,10,0.464,298.186209,47.64268697,1018.906825,157.9793001,720.7206164,110.3366131,1.917729312,0.077974415,28.47997889,0.093481813,2.645036774,2.551554961,40.27360545,119.67,39.31,193.51,173.97,11.72331244,0.38,0.36,0.52,43.25
2,0.2,10/1/2019,11,0.468,291.9442185,45.01709007,998.2638873,140.4821135,706.3196688,95.46502341,1.59255465,0.073270041,25.31353899,0.163138014,3.114975332,2.951837318,61.95277291,145.80,45.65,273.66,234.95,11.68083321,0.35,0.34,0.49,44.53
2,0.2,10/1/2019,12,0.49,300.7920028,46.46124942,998.0123852,150.3415023,697.2203824,103.8802529,1.661223328,0.065913908,30.78069563,0.155193802,2.371974021,2.21678022,42.30755971,134.88,40.86,242.39,223.54,51.00164208,0.36,0.34,0.49,43.38
2,2,10/1/2019,13,0.476,296.5403277,21.44150946,1118.87456,137.3468213,822.3342325,115.9053118,1.538374158,0.053950826,0,0,1.99372048,1.99372048,30.12209632,140.74,45.36,289.84,214.75,11.9706398,0.33,0.35,0.48,47.05
2,2,10/1/2019,14,0.43,327.0525221,19.30523226,1084.205954,128.8096166,757.1534321,109.5043844,0,0.067739509,0,0,1.892541044,1.892541044,37.17831617,119.18,40.74,252.41,200.76,3.905998821,0.32,0.33,0.46,45.85
2,2,10/1/2019,15,0.51,292.6993559,20.29778619,878.4159477,99.35983401,585.7165918,79.06204782,1.706930675,0.074278985,0,0,1.173936865,1.173936865,51.91905838,99.14,36.05,183.78,152.47,12.32557898,0.35,0.34,0.49,44.52
2,2,10/1/2019,16,0.482,292.9072845,16.01575089,917.6766703,98.39103385,624.7693858,82.37528296,0.512749845,0.093871695,0,0,1.07402407,1.07402407,56.64387951,105.94,32.33,223.97,177.31,10.57733403,0.32,0.34,0.46,46.27
6,0,10/1/2019,17,0.51,241.8980416,35.01761807,927.8280476,140.6174345,685.930006,105.5998164,0.58712194,0.077276582,33.52351071,0.120468926,2.293197219,2.172728293,40.50089548,75.44,46.57,93.20,37.29,8.93285925,0.45,0.47,0.65,46.63
6,0,10/1/2019,18,0.486,257.8641052,39.45829389,859.8951527,128.7728951,602.0310475,89.31460124,1.073695118,0.063544069,26.37000318,0.059281396,1.342379733,1.283098337,34.97055997,96.70,41.82,177.13,173.72,11.5055007,0.35,0.31,0.47,41.25
6,0,10/1/2019,19,0.514,257.2121351,44.16467141,881.0952067,135.7228622,623.8830716,91.55819082,1.299187339,0.078600745,30.45498169,0.027908781,2.33428282,2.306374038,27.43690032,126.38,40.97,256.68,325.66,17.02961417,0.33,0.26,0.42,37.85
6,0,10/1/2019,20,0.508,227.3805189,38.18707476,915.0257941,150.5349407,687.6452751,112.347866,2.10086568,0.091658062,17.08082858,0,2.068006645,2.068006645,42.42898151,75.55,35.96,162.60,135.21,4.636010211,0.32,0.31,0.44,43.99
6,0.4,10/1/2019,21,0.492,231.2517163,30.6713702,1021.031384,139.4784726,789.7796679,108.8071024,0.938136445,0.073092352,30.02644022,0.052456595,1.688239889,1.635783294,27.87063538,146.81,49.13,278.63,216.39,44.46005683,0.35,0.36,0.50,45.90
6,0.4,10/1/2019,22,0.46,245.522848,36.46981829,1075.529709,159.3489303,830.0068608,122.879112,1.191932578,0.073041739,26.89143456,0,1.161781706,1.161781706,33.66472663,141.76,42.35,234.23,211.44,15.66156967,0.38,0.36,0.52,43.55
6,0.4,10/1/2019,23,0.488,245.8871082,27.74490029,882.0318082,124.6199813,636.1447,96.87508104,3.137364088,0.092616719,14.42699671,0,1.522806112,1.522806112,58.77607522,130.87,35.97,202.84,187.16,19.28942369,0.39,0.37,0.54,43.31
6,0.4,10/1/2019,24,0.488,280.4669579,35.82689612,974.6095307,141.730353,694.1425728,105.9034569,1.754312819,0.071648126,21.52224099,0.180514679,1.940982714,1.760468034,47.35913974,116.11,49.85,193.85,185.86,16.3109016,0.37,0.33,0.50,41.38
6,0.2,10/1/2019,25,0.398,337.4966656,42.72392013,1196.69199,185.8151821,859.1953247,143.091262,1.682818278,0.102349394,25.96257924,0.438242853,2.958613578,2.520370725,49.09270761,169.10,55.63,326.70,253.44,15.97608581,0.34,0.35,0.49,46.04
6,0.2,10/1/2019,26,0.472,281.7614885,40.1306595,887.5550011,137.2195662,605.7935126,97.0889067,1.539843605,0.085163064,26.39622148,0.045192924,2.034440258,1.989247334,52.9796625,146.82,47.56,279.44,251.11,17.55029441,0.34,0.33,0.48,43.74
6,0.2,10/1/2019,27,0.494,219.8002614,31.25695493,926.7645084,147.5813038,706.964247,116.3243488,2.081368587,0.078977408,21.66202366,0,2.250782792,2.250782792,31.78122283,108.92,47.42,199.67,188.06,12.18467777,0.35,0.32,0.47,41.86
6,0.2,10/1/2019,28,0.442,278.362017,40.53104478,1028.413415,169.1161129,750.0513979,128.5850681,1.339884871,0.087935298,28.2211108,0,4.150343534,4.150343534,21.34078165,130.40,49.63,289.43,226.50,16.67330562,0.31,0.32,0.45,45.92
6,2,10/1/2019,29,0.436,288.5934874,21.23308601,1049.289779,113.3174126,760.6962913,92.08432656,1.387446744,0.096348904,0,0.131431137,1.465576732,1.334145595,50.24295063,140.67,48.70,317.46,246.82,16.04645666,0.31,0.32,0.45,46.41
6,2,10/1/2019,30,0.444,281.3502854,21.36007042,1238.592993,154.5412724,957.2427078,133.181202,2.079152252,0.059846576,0,0.071989557,2.693640224,2.621650667,61.05639595,170.81,52.19,369.60,342.75,20.16298848,0.32,0.30,0.44,43.69
6,2,10/1/2019,31,0.472,251.2042117,18.29640659,1049.912942,125.855579,798.7087302,107.5591724,1.019511837,0.057628967,0,0.058503798,1.794240646,1.735736848,48.8874403,128.92,42.10,265.93,247.38,11.12339285,0.33,0.31,0.45,43.34
6,2,10/1/2019,32,0.494,255.7245442,26.51992579,877.7333191,93.26508939,622.0087748,66.74516359,2.117601309,0.052279703,0,0.017673504,0.662533824,0.64486032,49.23655528,97.53,31.75,146.06,147.72,5.857419509,0.40,0.35,0.53,41.33
-10,0,10/4/2019,33,0.52,225.7409098,43.40177916,943.8042371,134.114444,718.0633272,90.71266486,7.087712386,0.044277932,19.27811773,0.376028555,1.934467913,1.558439358,59.94886812,70.77,30.85,167.44,127.23,5.06047846,0.30,0.31,0.43,46.15
-10,0,10/4/2019,34,0.474,226.3739205,43.50143073,1217.230837,144.6711048,990.856917,101.169674,7.487097521,0.067217126,16.51085259,0.33648406,1.984755718,1.648271658,65.59133958,101.36,43.23,206.03,156.54,9.763052354,0.33,0.34,0.47,45.59
-10,0,10/4/2019,35,0.482,233.5992379,42.30614513,1148.987106,134.3563064,915.3878682,92.0501613,8.431426881,0.033880633,16.69273324,0.009478896,0.942742134,0.933263238,67.05221084,106.30,40.02,260.68,208.61,8.88817505,0.29,0.30,0.42,45.96
-10,0,10/4/2019,36,0.5,233.6725024,33.90847962,933.4160657,115.0474752,699.7435633,81.13899563,6.432632318,0.040650817,16.73029081,0,0.753485657,0.753485657,55.71098939,84.45,29.28,166.23,123.98,6.665222687,0.34,0.36,0.49,46.52
-10,0.4,10/4/2019,37,0.448,468.5943199,40.26310917,1371.004398,136.1183575,902.410078,95.85524833,5.407388488,0.344531394,16.67841911,0.122939845,1.66420675,1.541266905,61.6054369,77.48,29.56,160.34,109.98,6.55109401,0.33,0.36,0.48,47.62
-10,0.4,10/4/2019,38,0.514,416.6710281,35.04850032,1051.009925,124.2043123,634.3388966,89.155812,5.281562772,0.281992472,13.20596271,0,1.37641543,1.37641543,53.32308358,115.03,40.46,246.44,172.85,10.42471882,0.32,0.35,0.47,47.75
-10,0.4,10/4/2019,39,0.52,497.3266902,46.99357592,1118.36809,128.8973839,621.0413999,81.90380793,5.043619179,0.278433859,18.21491249,0.156445327,1.872715286,1.716269959,87.56555974,95.94,41.55,205.37,205.37,10.21306318,0.32,0.28,0.42,41.31
-10,0.4,10/4/2019,40,0.432,671.3003224,69.38313429,1307.249003,136.589681,635.9486805,67.20654668,9.785823668,0.431843587,21.19791996,0.61126425,1.548869817,0.937605567,138.6199813,98.96,29.86,185.08,185.08,10.61142589,0.35,0.32,0.47,42.14
-10,0.2,10/4/2019,41,0.48,319.4668174,42.46240119,907.8878886,128.247203,588.4210712,85.78480178,7.248405246,0.172110439,16.92159747,0.188146313,1.017463382,0.829317069,54.00985161,95.41,40.19,172.07,172.07,13.98781668,0.36,0.31,0.47,41.00
-10,0.2,10/4/2019,42,0.502,345.8188586,50.09775803,1106.1357,126.258704,760.316841,76.16094597,7.306629874,0.151316178,20.07665385,0.199929666,1.602936217,1.403006551,78.29290123,59.67,27.82,99.80,99.80,8.371148412,0.37,0.32,0.49,40.41
-10,0.2,10/4/2019,43,0.466,378.8217769,54.97967421,983.1601,141.7239457,604.3383231,86.74427153,7.626656547,0.112194185,20.48073138,0.063820346,1.898173865,1.834353519,64.14647979,82.14,33.92,191.37,191.37,5.3891747,0.30,0.27,0.40,41.66
-10,0.2,10/4/2019,44,0.464,332.3472859,44.2499177,838.4688987,118.4060669,506.1216129,74.15614922,8.554365581,0.107332914,16.35214099,0,1.509478732,1.509478732,88.19353891,85.64,30.80,170.33,170.33,9.735183018,0.33,0.30,0.45,41.75
-10,2,10/4/2019,45,0.502,1633.196465,37.56137241,2615.42122,132.8733938,982.2247551,95.31202134,7.49651522,2.019790296,14.8646461,0.015455773,1.8035188,1.788063027,79.5912751,56.45,27.05,128.95,128.95,6.776872269,0.30,0.27,0.40,41.11
-10,2,10/4/2019,46,0.45,1575.860687,42.75390959,2718.114026,160.1312376,1142.25334,117.377328,7.065336434,1.3740069,16.01138387,0,1.400379925,1.400379925,55.61501866,73.44,30.38,182.48,182.48,5.732367585,0.29,0.26,0.38,41.79
-10,2,10/4/2019,47,0.454,2049.021355,52.09077554,3001.771155,137.8027516,952.7498001,85.71197602,6.773007969,1.918538673,10.83612372,0.034061054,2.163867341,2.129806286,68.27135522,79.35,39.34,191.92,191.92,10.54006439,0.29,0.26,0.39,41.13
-10,2,10/4/2019,48,0.48,1536.405722,42.3443435,2946.863578,146.3511634,1410.457856,104.0068199,6.53810307,2.081234998,15.91462013,0,2.780067189,2.780067189,86.4424258,65.00,27.95,140.83,140.83,16.66245186,0.32,0.28,0.42,41.36
-6,0,10/4/2019,49,0.48,292.2721434,51.15144749,937.452497,136.3313614,645.1803536,85.1799139,8.893315549,0.035323104,18.01613806,0,1.103919939,1.103919939,74.67485463,83.29,39.44,228.81,228.81,4.461489465,0.27,0.24,0.36,41.60
-6,0,10/4/2019,50,0.478,249.5384291,46.75889105,1047.390613,127.80105,797.8521844,81.04215891,9.659812472,0.022447173,21.88041788,0,1.482132158,1.482132158,60.59850845,74.91,31.94,185.70,185.70,10.23768245,0.29,0.26,0.38,41.70
-6,0,10/4/2019,51,0.464,310.0923272,59.90319977,989.2829009,143.3312974,679.1905737,83.4280976,15.75554688,0.037993456,16.64738798,0.041481772,2.183216327,2.141734555,88.78908206,83.44,28.79,225.76,225.76,7.386461455,0.27,0.25,0.37,42.45
-6,0,10/4/2019,52,0.52,260.0422972,41.90880339,726.0826208,107.2987548,466.0403236,65.38995137,7.578751536,0.019882566,12.25695102,0.011243889,0.931200032,0.919956142,40.74869205,72.15,25.62,250.66,250.66,8.394861998,0.22,0.21,0.30,42.81
-6,0.4,10/4/2019,53,0.512,381.4358086,39.00553235,1308.094993,145.0050541,926.6591839,105.9995218,7.383189735,0.192589709,13.62964769,0.085238131,3.338262084,3.253023953,73.41393337,80.49,28.73,371.13,371.13,11.93643703,0.18,0.17,0.24,43.23
-6,0.4,10/4/2019,54,0.522,403.507523,53.06648813,1142.375618,117.9663122,738.8680947,64.89982403,7.922221949,0.108618573,20.51568367,0.112355336,1.132836316,1.02048098,101.1450783,61.55,43.66,401.01,401.01,9.461357203,0.13,0.12,0.18,42.42
-6,0.4,10/4/2019,55,0.446,599.0635173,59.45528539,1396.201589,153.7928813,797.1380719,94.33759589,9.427824498,0.128891294,16.61701685,0.189057885,2.452931452,2.263873567,128.6475397,78.24,29.85,161.75,161.75,7.337140555,0.33,0.29,0.44,41.65
-6,0.4,10/4/2019,56,0.46,433.0885115,39.83274416,1116.759443,124.4109191,683.6709318,84.57817491,11.40166164,0.194646452,14.67222346,0.099918848,1.373595441,1.273676593,126.1460897,79.20,41.30,190.25,190.25,8.151353326,0.29,0.25,0.39,40.93
-6,0.2,10/4/2019,57,0.504,265.6184219,41.04818367,1109.077567,134.6732697,843.4591447,93.62508601,9.933686829,0.05256884,14.50966512,0.289440456,1.274233219,0.984792762,91.1535173,67.01,25.10,175.30,175.30,8.976597853,0.28,0.25,0.37,42.18
-6,0.2,10/4/2019,58,0.466,243.6983409,35.09567872,997.3227764,109.2719847,753.6244356,74.17630594,7.279210439,0.049877936,17.08988181,0,1.490374342,1.490374342,92.97006401,66.93,33.57,166.72,166.72,5.598115309,0.29,0.25,0.38,41.17
-6,0.2,10/4/2019,59,0.484,334.189897,51.90871888,1189.836352,132.2857176,855.6464554,80.37699874,7.813116469,0.064586043,15.25099738,0.149481615,1.285333068,1.135851453,98.03885472,82.93,32.14,215.33,215.33,8.189142909,0.28,0.25,0.37,42.07
-6,0.2,10/4/2019,60,0.5,273.8284233,38.18832769,1049.96919,128.334604,776.1407668,90.14627627,6.063123482,0.046821298,16.39526622,0.091261619,1.984869433,1.893607814,94.48906723,86.88,32.91,205.32,205.32,8.181766075,0.30,0.27,0.40,41.95
-6,2,10/4/2019,61,0.516,1703.283211,50.9383438,2375.724031,114.3126099,672.4408203,63.37426614,7.193935264,1.383102918,8.557603049,0.245503812,1.93935503,1.693851218,72.85805133,84.04,30.23,248.70,248.70,2.172274943,0.25,0.23,0.34,42.51
-6,2,10/4/2019,62,0.518,1493.573605,41.7165781,2557.988548,108.9049522,1064.414942,67.18837412,8.665826426,1.477579395,9.166102169,0.135165805,2.477630979,2.342465174,78.09696512,83.46,38.93,329.76,329.76,7.085153342,0.20,0.18,0.27,42.42
-6,2,10/4/2019,63,0.482,1815.50004,47.50076036,1978.11812,111.1199973,162.6180798,63.61923697,7.004824491,1.768251117,13.09704005,0.177744663,1.60272052,1.424975857,84.83824614,80.74,31.39,183.52,183.52,4.447915463,0.31,0.27,0.41,41.79
-6,2,10/4/2019,64,0.478,1501.746018,38.06590592,2532.177022,122.4252266,1030.431004,84.35932069,5.065664078,2.105692385,13.12825073,0.079935564,1.877359184,1.79742362,103.7743164,106.31,42.76,225.89,225.89,7.505973218,0.32,0.28,0.43,41.54
-2,0,10/4/2019,65,0.424,274.3556616,45.8446936,928.3918521,162.804122,654.0361905,116.9594284,5.923420395,0.054492688,25.28379777,0,1.607062584,1.607062584,83.01562024,98.66,49.53,254.44,254.44,3.683366509,0.28,0.25,0.37,41.25
-2,0,10/4/2019,66,0.486,203.3744979,34.08886772,1086.31892,135.400569,882.9444225,101.3117013,4.802941518,0.031648244,15.33390848,0,1.701238491,1.701238491,55.12563751,57.90,25.69,144.71,144.71,0.066898275,0.29,0.25,0.38,41.59
-2,0,10/4/2019,67,0.482,223.8158617,40.62553433,985.3725257,134.4696543,761.556664,93.84411996,6.831151156,0.040977352,16.58377284,0.39328501,2.187044306,1.793759296,63.90929697,77.56,31.10,137.10,137.10,1.368772694,0.36,0.32,0.48,41.14
-2,0,10/4/2019,68,0.466,233.0822265,40.26478607,1254.327208,162.3003703,1021.244981,122.0355843,6.828817336,0.030445988,19.91558978,0.514051643,2.287345189,1.773293547,65.10973582,88.70,30.21,177.87,177.87,4.25337512,0.33,0.30,0.45,41.93
-2,0.4,10/4/2019,69,0.498,364.3910928,42.46142253,1181.406013,124.8495008,817.0149205,82.38807825,3.443905559,0.074455371,11.37764906,0.152122322,2.8422586,2.690136278,108.2763246,65.21,30.23,162.99,162.99,5.768697417,0.29,0.25,0.38,41.45
-2,0.4,10/4/2019,70,0.498,337.6013649,46.0001107,1067.273001,137.7572903,729.6716357,91.75717965,5.036163169,0.068844906,19.36934341,0.053429194,1.867731072,1.814301878,96.69533505,95.32,41.30,199.79,199.79,3.964040597,0.32,0.28,0.43,41.26
-2,0.4,10/4/2019,71,0.51,234.4591635,30.55304444,761.2648721,94.40380606,526.8057086,63.85076162,3.577166789,0.067078406,11.41356691,0,0.774487256,0.774487256,51.02669594,71.08,32.33,164.08,164.08,4.849430612,0.30,0.27,0.40,41.32
-2,0.4,10/4/2019,72,0.5,339.4906672,37.95118571,1176.895526,136.1761881,837.4048585,98.22500241,3.762632986,0.057372617,16.31151007,0,2.337524333,2.337524333,90.78284386,110.41,45.20,259.61,259.61,8.864969189,0.30,0.27,0.40,41.71
-2,0.2,10/4/2019,73,0.52,174.2460805,24.27437951,1015.375639,135.2621973,841.1295586,110.9878178,5.900082813,0.030585796,9.548786722,0.104173532,1.59674964,1.492576108,48.96794551,48.46,27.26,169.91,169.91,3.203362241,0.22,0.20,0.30,41.64
-2,0.2,10/4/2019,74,0.462,273.6166008,43.03006638,1103.070965,146.9708673,829.4543639,103.9408009,4.944544322,0.042229858,15.49333016,0,2.453141731,2.453141731,80.00622959,110.39,34.92,261.31,261.31,4.258906288,0.30,0.27,0.40,42.43
-2,0.2,10/4/2019,75,0.506,177.3335753,28.82180186,851.19622,118.1818462,673.8626448,89.3600443,5.431716644,0.061531559,17.69195918,0.238057017,0.178014876,-0.060042142,78.02394995,64.58,34.94,135.12,135.12,3.359917366,0.32,0.28,0.42,40.40
-2,0.2,10/4/2019,76,0.468,275.1862315,43.24540865,1071.887842,157.2180871,796.7016109,113.9726784,4.465984354,0.050313796,21.28587367,0.116846711,0.277926264,0.161079553,83.83641052,80.61,32.89,175.88,175.88,7.839540199,0.31,0.28,0.42,41.55
-2,2,10/4/2019,77,0.44,1114.585965,34.43833935,1938.947305,114.3084203,824.3613399,79.87008099,2.331236514,1.64448103,6.927533403,0.120003627,0.331333427,0.2113298,107.6780109,101.21,43.88,221.40,221.40,6.503747641,0.31,0.28,0.42,41.36
-2,2,10/4/2019,78,0.468,1250.262339,39.70204581,1806.264594,89.39643184,556.0022555,49.69438603,2.352216255,1.6503569,4.95020318,0.208666047,0.206692246,-0.001973802,112.9689644,79.62,26.33,202.75,202.75,2.033169439,0.28,0.26,0.38,42.45
-2,2,10/4/2019,79,0.452,1008.022864,33.03587019,1955.025718,113.537003,947.0028542,80.50113279,2.61097457,1.895864528,5.373903695,0.092729429,0.329139266,0.236409837,145.1830721,70.25,29.87,151.71,151.71,6.771563453,0.32,0.28,0.42,41.39
-2,2,10/4/2019,80,0.476,1228.379708,33.65295394,1933.920212,123.7884554,705.5405037,90.13550142,2.203162269,2.115305692,4.72742357,0.114716765,0.185073005,0.07035624,100.9896868,70.21,28.24,167.98,167.98,3.022430196,0.29,0.26,0.40,41.80
Pre,Pre,6/26/2019,81,0.36,411.004736,57.89941836,1124.200652,170.7125907,713.1959162,112.8131723,9.359992918,0.026843393,21.17380834,0.311692214,0,-0.311692214,34.42373582,,,,,,,,,
Pre,Pre,6/26/2019,82,0.40,386.5464713,55.38985614,1005.549334,151.3634958,619.0028628,95.97363962,9.616314674,0.047507108,21.69284266,0.422095552,0.013920325,-0.408175227,52.15505521,,,,,,,,,
Pre,Pre,6/26/2019,83,0.35,430.9757228,64.3662934,1164.733774,182.8448401,733.7580515,118.4785467,11.216843,0.088251038,11.26130528,0.465168027,1.839144405,1.373976377,74.93293058,,,,,,,,,
Pre,Pre,6/26/2019,84,0.37,364.8432613,52.58490379,1293.789601,197.4135637,928.9463393,144.82866,9.605448985,0.055484328,9.924271296,0.084736401,1.9736346,1.888898199,76.55508937,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
